 ,Label,Area(Cell_1_ROI_1),Mean(Cell_1_ROI_1),IntDen(Cell_1_ROI_1),RawIntDen(Cell_1_ROI_1),Area(Cell_2_ROI_1),Mean(Cell_2_ROI_1),IntDen(Cell_2_ROI_1),RawIntDen(Cell_2_ROI_1),Area(Cell_3_ROI_1),Mean(Cell_3_ROI_1),IntDen(Cell_3_ROI_1),RawIntDen(Cell_3_ROI_1),Area(Cell_4_ROI_1),Mean(Cell_4_ROI_1),IntDen(Cell_4_ROI_1),RawIntDen(Cell_4_ROI_1),Area(Cell_5_ROI_1),Mean(Cell_5_ROI_1),IntDen(Cell_5_ROI_1),RawIntDen(Cell_5_ROI_1),Area(Cell_6_ROI_1),Mean(Cell_6_ROI_1),IntDen(Cell_6_ROI_1),RawIntDen(Cell_6_ROI_1),Area(Cell_7_ROI_1),Mean(Cell_7_ROI_1),IntDen(Cell_7_ROI_1),RawIntDen(Cell_7_ROI_1),Area(Cell_8_ROI_1),Mean(Cell_8_ROI_1),IntDen(Cell_8_ROI_1),RawIntDen(Cell_8_ROI_1),Area(Cell_9_ROI_1),Mean(Cell_9_ROI_1),IntDen(Cell_9_ROI_1),RawIntDen(Cell_9_ROI_1),Area(Cell_10_ROI_1),Mean(Cell_10_ROI_1),IntDen(Cell_10_ROI_1),RawIntDen(Cell_10_ROI_1),Area(Cell_11_ROI_1),Mean(Cell_11_ROI_1),IntDen(Cell_11_ROI_1),RawIntDen(Cell_11_ROI_1),Area(Cell_12_ROI_1),Mean(Cell_12_ROI_1),IntDen(Cell_12_ROI_1),RawIntDen(Cell_12_ROI_1)
1,JYY343-SC-timecourse-001_C2_Num,3.7203,906.1230,3371.0923,287241,5.4925,921.9765,5063.9561,431485,3.2978,1050.3131,3463.7725,295138,2.7932,784.8193,2192.1531,186787,3.9199,1432.8533,5616.5859,478573,6.1028,781.4019,4768.7222,406329,3.4856,790.3333,2754.8057,234729,4.6123,932.3792,4300.4043,366425,7.0769,1068.4976,7561.6235,644304,5.8211,954.2964,5555.0654,473331,4.3893,872.7380,3830.7136,326404,4.1194,1290.5784,5316.3760,452993
2,JYY343-SC-timecourse-001_C2_Num,3.4974,886.3557,3099.9060,264134,5.2343,925.7399,4845.6055,412880,3.1570,941.6840,2972.9094,253313,2.4176,837.8447,2025.6058,172596,3.8025,1349.1266,5130.0537,437117,5.5981,759.1048,4249.5635,362093,3.0397,781.8996,2376.7034,202512,4.1898,917.6302,3844.6797,327594,6.5135,1071.9225,6982.0122,594917,5.3047,882.9115,4683.6001,399076,4.1781,843.6320,3524.7415,300333,3.9785,1226.8436,4881.0488,415900
3,JYY343-SC-timecourse-001_C2_Num,3.2157,860.7701,2767.9736,235851,5.0817,949.6813,4826.0298,411212,2.9810,1000.8425,2983.4836,254214,2.5702,770.2922,1979.8115,168694,3.6030,1395.8893,5029.3696,428538,5.4221,765.7532,4151.9780,353778,2.8753,788.8245,2268.1443,193262,3.9433,929.0387,3663.5093,312157,6.6309,1058.2195,7016.9502,597894,5.2695,851.2405,4485.6240,382207,3.9903,845.0618,3372.0312,287321,3.7203,1260.0442,4687.8018,399434
4,JYY343-SC-timecourse-001_C2_Num,3.1218,897.1729,2800.7996,238648,4.6827,856.1378,4009.0437,341599,2.8401,1003.9793,2851.4407,242963,2.0773,772.3503,1604.3969,136706,3.6617,1356.0801,4965.5132,423097,5.2108,734.2230,3825.9136,325995,2.5115,783.6309,1968.1106,167697,4.1076,890.8714,3659.3782,311805,6.1028,1039.9866,6346.8066,540793,5.0231,826.4603,4151.3560,353725,3.8260,851.2117,3256.7122,277495,3.6617,1171.3013,4288.9150,365446
5,JYY343-SC-timecourse-001_C2_Num,3.1218,908.3008,2835.5383,241608,4.6592,825.8741,3847.9421,327872,2.7697,973.7076,2696.8997,229795,2.1125,792.2944,1673.7220,142613,3.4622,1360.0170,4708.5864,401205,4.7766,761.4644,3637.2085,309916,2.6641,765.3392,2038.9381,173732,3.7203,893.0378,3322.4109,283093,5.8915,1087.3168,6405.9565,545833,5.0817,810.5404,4118.9526,350964,3.8025,808.4321,3074.0630,261932,3.5326,1170.9734,4136.5449,352463
6,JYY343-SC-timecourse-001_C2_Num,3.2861,959.4572,3152.8828,268648,4.4363,848.3677,3763.5713,320683,2.8401,1070.5083,3040.3921,259063,2.0186,895.5233,1807.7131,154030,3.8494,1238.9360,4769.2153,406371,5.1756,765.9365,3964.2002,337778,2.8636,760.0697,2176.5439,185457,3.8142,920.5169,3511.0688,299168,6.1028,1075.7058,6564.7935,559367,5.2460,848.3423,4450.4390,379209,4.0020,848.8035,3396.9236,289442,3.8142,1204.9047,4595.7905,391594
7,JYY343-SC-timecourse-001_C2_Num,3.1335,936.4719,2934.4736,250038,4.4832,874.5576,3920.8118,334081,2.9223,1078.1968,3150.8054,268471,2.3590,901.6816,2127.0293,181238,3.7203,1310.5930,4875.8613,415458,5.0348,779.1282,3922.7483,334246,3.1453,805.6978,2534.1433,215927,4.1311,925.9233,3825.0920,325925,6.3258,1127.6642,7133.3374,607811,5.3047,824.2256,4372.2881,372550,3.9551,843.0059,3334.1470,284093,3.8612,1258.6779,4859.9824,414105
8,JYY343-SC-timecourse-001_C2_Num,3.3683,853.6968,2875.4763,245011,4.4128,878.4761,3876.5195,330307,2.9106,1040.9960,3029.8767,258167,2.3472,839.0150,1969.3546,167803,3.5912,1259.7255,4523.9893,385476,5.1052,787.7954,4021.8596,342691,2.8401,788.4215,2239.2266,190798,4.0255,899.9301,3622.6558,308676,6.0558,1046.6764,6338.4976,540085,5.2460,845.7696,4436.9424,378059,3.9903,903.8735,3606.7065,307317,4.0255,1168.3499,4703.1763,400744
9,JYY343-SC-timecourse-001_C2_Num,3.2626,841.6691,2746.0623,233984,4.1546,856.9972,3560.4661,303377,2.7110,991.3636,2687.6282,229005,2.0656,796.7216,1645.6727,140223,3.8260,1196.8958,4579.2896,390188,4.9174,791.5036,3892.1638,331640,2.6758,696.0482,1862.5092,158699,4.3541,842.1267,3666.7014,312429,5.9972,1101.5675,6606.2686,562901,4.9057,872.5311,4280.3711,364718,4.0842,826.0057,3373.5452,287450,3.8847,1134.9910,4409.0459,375682
10,JYY343-SC-timecourse-001_C2_Num,3.2978,887.6975,2927.4907,249443,4.0372,893.7413,3608.2322,307447,2.9223,942.6385,2754.6648,234717,2.3472,754.0750,1769.9816,150815,3.6617,1261.3525,4618.6528,393542,5.0348,785.0723,3952.6753,336796,2.7228,779.3276,2121.9358,180804,4.3072,769.4550,3314.1604,282390,5.9150,1145.2560,6774.1890,577209,4.6240,856.1675,3958.9424,337330,3.8964,850.4548,3313.7026,282351,3.7556,1178.0406,4424.1968,376973
