 ,Label,Area(Cell_1_ROI_1),Mean(Cell_1_ROI_1),IntDen(Cell_1_ROI_1),RawIntDen(Cell_1_ROI_1),Area(Cell_2_ROI_1),Mean(Cell_2_ROI_1),IntDen(Cell_2_ROI_1),RawIntDen(Cell_2_ROI_1)
1,multichannelZStack_C2_Num,118.1357,0.0000,0.0000,0,135.5404,0.0000,0.0000,0
2,multichannelZStack_C2_Num,118.1357,0.0000,0.0000,0,135.5404,0.0000,0.0000,0
3,multichannelZStack_C2_Num,118.1357,0.0000,0.0000,0,135.5404,0.0000,0.0000,0
4,multichannelZStack_C2_Num,118.1357,0.0000,0.0000,0,135.5404,0.0000,0.0000,0
5,multichannelZStack_C2_Num,118.1357,0.0000,0.0000,0,135.5404,0.0000,0.0000,0
6,multichannelZStack_C2_Num,118.1357,1.3651,161.2659,13741,135.5404,0.0000,0.0000,0
7,multichannelZStack_C2_Num,118.1357,5.9132,698.5568,59522,135.5404,1.2327,167.0753,14236
8,multichannelZStack_C2_Num,118.1357,8.9140,1053.0579,89728,135.5404,5.3663,727.3455,61975
9,multichannelZStack_C2_Num,118.1357,9.2975,1098.3710,93589,135.5404,12.6784,1718.4366,146423
10,multichannelZStack_C2_Num,118.1357,9.8395,1162.3915,99044,135.5404,18.7129,2536.3499,216115
11,multichannelZStack_C2_Num,118.1357,10.6875,1262.5709,107580,135.5404,13.1350,1780.3212,151696
12,multichannelZStack_C2_Num,118.1357,11.0971,1310.9589,111703,135.5404,7.4955,1015.9365,86565
13,multichannelZStack_C2_Num,118.1357,2.3713,280.1410,23870,135.5404,1.8112,245.4843,20917
