...1,Label,exposures,Num_Mean(Cell_1_ROI_1),Num_Mean(Cell_2_ROI_1),Num_Mean(Cell_3_ROI_1),Num_Mean(Cell_4_ROI_1),Num_Mean(Cell_5_ROI_1),Num_Mean(Cell_6_ROI_1),Num_Mean(Cell_7_ROI_1),Num_Mean(Cell_8_ROI_1),Num_Mean(Cell_9_ROI_1),Num_Mean(Cell_10_ROI_1),Num_Mean(Cell_11_ROI_1),Num_Mean(Cell_12_ROI_1),Denom_Mean(Cell_1_ROI_1),Denom_Mean(Cell_2_ROI_1),Denom_Mean(Cell_3_ROI_1),Denom_Mean(Cell_4_ROI_1),Denom_Mean(Cell_5_ROI_1),Denom_Mean(Cell_6_ROI_1),Denom_Mean(Cell_7_ROI_1),Denom_Mean(Cell_8_ROI_1),Denom_Mean(Cell_9_ROI_1),Denom_Mean(Cell_10_ROI_1),Denom_Mean(Cell_11_ROI_1),Denom_Mean(Cell_12_ROI_1),Ratio_Mean(Cell_1_ROI_1),Ratio_Mean(Cell_2_ROI_1),Ratio_Mean(Cell_3_ROI_1),Ratio_Mean(Cell_4_ROI_1),Ratio_Mean(Cell_5_ROI_1),Ratio_Mean(Cell_6_ROI_1),Ratio_Mean(Cell_7_ROI_1),Ratio_Mean(Cell_8_ROI_1),Ratio_Mean(Cell_9_ROI_1),Ratio_Mean(Cell_10_ROI_1),Ratio_Mean(Cell_11_ROI_1),Ratio_Mean(Cell_12_ROI_1)
1,JYY343-SC-timecourse-001_C2_Num,1,906.123,921.9765,1050.3131,784.8193,1432.8533,781.4019,790.3333,932.3792,1068.4976,954.2964,872.738,1290.5784,546.489,545.5555,597.5623,466.5924,747.2784,557.3577,514.4108,698.1221,662.4047,551.3266,586.0775,752.8547,1.7235,1.7397,1.7587,1.7709,1.9157,1.4221,1.5613,1.3442,1.6316,1.7539,1.505,1.6846
2,JYY343-SC-timecourse-001_C2_Num,14,886.3557,925.7399,941.684,837.8447,1349.1266,759.1048,781.8996,917.6302,1071.9225,882.9115,843.632,1226.8436,504.2248,533.5359,559.7695,490.2233,695.2963,537.2516,507,655.3893,648.9459,514.4602,555.5197,721.9675,1.868,1.8215,1.6868,1.7711,1.9333,1.4461,1.5827,1.4248,1.6718,1.7524,1.5477,1.6823
3,JYY343-SC-timecourse-001_C2_Num,27,860.7701,949.6813,1000.8425,770.2922,1395.8893,765.7532,788.8245,929.0387,1058.2195,851.2405,845.0618,1260.0442,506.8175,542.0924,564.6811,463.2557,715.8306,534.9805,503.3878,669.9107,621.2283,496.4699,565.4382,732.3407,1.7763,1.851,1.8027,1.7213,1.9514,1.4608,1.6339,1.3946,1.7345,1.7213,1.5098,1.6893
4,JYY343-SC-timecourse-001_C2_Num,40,897.1729,856.1378,1003.9793,772.3503,1356.0801,734.223,783.6309,890.8714,1039.9866,826.4603,851.2117,1171.3013,510.9925,478.8947,586.3553,448.3446,695.4487,520.2207,502.9346,638.3771,618.5231,476.1916,571.9601,690.2468,1.8512,1.8465,1.7226,1.8047,1.963,1.4346,1.5945,1.4178,1.7077,1.7887,1.5078,1.6816
5,JYY343-SC-timecourse-001_C2_Num,53,908.3008,825.8741,973.7076,792.2944,1360.017,761.4644,765.3392,893.0378,1087.3168,810.5404,808.4321,1170.9734,519.0639,464.6952,569.1229,465.5778,692.6813,539.9681,490.7093,640.7413,648.1833,473.6466,542.8087,683.1262,1.8234,1.8779,1.7396,1.7494,1.9741,1.4322,1.5976,1.4093,1.7039,1.7418,1.5261,1.7058
6,JYY343-SC-timecourse-001_C2_Num,66,959.4572,848.3677,1070.5083,895.5233,1238.936,765.9365,760.0697,920.5169,1075.7058,848.3423,848.8035,1204.9047,564.375,462.9312,620.3306,526.3721,655.8964,536.0317,490.0738,656.5723,643.8346,481.1902,549.5777,701.6769,1.7723,2.0062,1.7295,1.7736,1.9023,1.4625,1.5776,1.4232,1.6945,1.7869,1.5584,1.7122
7,JYY343-SC-timecourse-001_C2_Num,79,936.4719,874.5576,1078.1968,901.6816,1310.593,779.1282,805.6978,925.9233,1127.6642,824.2256,843.0059,1258.6779,514.9663,474.9058,631.5582,512.189,699.653,549.8998,493.4702,642.3011,650.7718,480.0133,568.46,726.7386,1.9123000000000001,1.981,1.7195,1.9032,1.8972,1.4426,1.6509,1.4793,1.7625,1.7437,1.4989,1.7263
8,JYY343-SC-timecourse-001_C2_Num,92,853.6968,878.4761,1040.996,839.015,1259.7255,787.7954,788.4215,899.9301,1046.6764,845.7696,903.8735,1168.3499,489.2997,468.7261,579.875,478.625,634.8562,548.6368,503.3512,614.7201,613.3488,496.1767,576.1118,686.4053,1.828,2.0022,1.8196,1.8398,1.9923,1.4619,1.5943,1.475,1.7359,1.7298,1.5861,1.7057
9,JYY343-SC-timecourse-001_C2_Num,105,841.6691,856.9972,991.3636,796.7216,1196.8958,791.5036,696.0482,842.1267,1101.5675,872.5311,826.0057,1134.991,476.5971,452.6102,563.4286,444.5796,637.6595,546.9093,455.0877,582.7601,649.364,493.4521,549.4224,677.0121,1.8356,2.0289,1.7725,1.905,1.8784,1.481,1.5828,1.4675,1.7328,1.8206,1.5215,1.6925
10,JYY343-SC-timecourse-001_C2_Num,118,887.6975,893.7413,942.6385,754.075,1261.3525,785.0723,779.3276,769.455,1145.256,856.1675,850.4548,1178.0406,487.8043,457.1366,540.6627,435.04,639.2115,544.5967,479.625,531.0327,659.5338,491.2462,565.1777,681.75,1.9114,2.0803,1.7699,1.8255,2.0043,1.4585,1.6515,1.4851,1.7629,1.7427,1.5202,1.7318
11,JYY343-SC-timecourse-001_C2_Num,131,873.0476,960.277,988.7519,851.6865,1215.4888,762.8076,791.5432,839.8164,1244.2931,869.0125,849.9105,1135.8152,471.5952,495.8134,555.0496,466.8811,620.4662,518.9952,469.6173,578.7429,706.6595,491.9403,544.4716,660.694,1.9551,2.0956,1.7841,1.9208,1.9769,1.4948,1.7159,1.4865,1.796,1.7908,1.5759,1.7352
12,JYY343-SC-timecourse-001_C2_Num,144,898.332,938.0789,991.1174,824.1564,1312.5809,741.9649,763.5785,880.6087,1232.0426,836.4875,879.296,1194.8929,470.2188,464.8141,535.5749,433.864,649.9859,479.1404,432.7355,586.8145,671.145,461.0398,561.7539,647.3846,2.0178,2.1811,1.9128,1.9971,2.063,1.587,1.8166,1.5414,1.8543,1.8628,1.5779,1.8675
13,JYY343-SC-timecourse-001_C2_Num,157,850.6628,962.2808,934.7143,917.3986,1171.4966,694.2441,727.1652,814.753,1110.5374,894.5179,953.1592,1116.1364,459.3295,530.8984,527.0649,536.7832,610.3151,480.0604,452.5367,563.6518,647.1088,491.6282,630.7111,652.9578,1.9883,1.8909,1.8165,1.7543,1.9605,1.4848,1.6426,1.4889,1.7632,1.8724,1.5272,1.7194
