 ,Label,Area1,Mean1,IntDen1,RawIntDen1,Area2,Mean2,IntDen2,RawIntDen2,Area3,Mean3,IntDen3,RawIntDen3,Area4,Mean4,IntDen4,RawIntDen4
1,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
2,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
3,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
4,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
5,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
6,Masked Denom,0.49,62.93,31.02,2643,0.39,41.42,16.04,1367,0.54,45.54,24.59,2095,0.36,34.68,12.62,1075
7,Masked Denom,1.96,103.47,202.80,17280,1.26,89.08,111.87,9532,0.93,111.27,103.16,8790,1.71,58.81,100.77,8586
8,Masked Denom,2.08,144.84,300.88,25637,2.03,90.39,183.52,15637,1.01,92.34,93.20,7941,2.46,85.80,211.45,18017
9,Masked Denom,2.22,159.84,354.54,30209,1.74,120.01,208.45,17761,1.49,103.69,154.55,13169,1.27,121.54,154.05,13126
10,Masked Denom,2.84,180.67,513.11,43721,1.19,133.00,157.65,13433,1.23,142.23,175.27,14934,0.72,124.67,89.25,7605
11,Masked Denom,2.61,197.36,514.19,43813,0.99,145.94,143.87,12259,1.02,135.34,138.19,11775,0.14,168.92,23.79,2027
12,Masked Denom,1.01,198.15,200.00,17041,1.16,127.06,147.63,12579,2.39,95.81,229.39,19546,0.00,NaN,NaN,NaN
13,Masked Denom,0.18,204.80,36.05,3072,0.42,170.78,72.15,6148,1.57,155.65,244.78,20857,0.00,NaN,NaN,NaN
