 ,Label,Area(ROI_1),Mean(ROI_1),IntDen(ROI_1),RawIntDen(ROI_1),Area(ROI_2),Mean(ROI_2),IntDen(ROI_2),RawIntDen(ROI_2),Area(ROI_3),Mean(ROI_3),IntDen(ROI_3),RawIntDen(ROI_3),Area(ROI_4),Mean(ROI_4),IntDen(ROI_4),RawIntDen(ROI_4),Area(ROI_5),Mean(ROI_5),IntDen(ROI_5),RawIntDen(ROI_5)
1,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
2,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
3,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
4,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
5,Masked Denom,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
6,Masked Denom,0.43,43.92,19.07,1625,0.00,NaN,NaN,NaN,0.32,79.85,25.30,2156,0.08,42.29,3.47,296,0.21,52.89,11.17,952
7,Masked Denom,1.42,85.87,121.94,10390,0.27,73.48,19.83,1690,1.42,125.90,178.79,15234,0.39,101.48,39.30,3349,0.54,86.72,46.82,3989
8,Masked Denom,2.16,93.19,201.24,17147,1.11,125.80,140.26,11951,2.03,152.13,308.88,26319,1.03,123.99,128.05,10911,1.35,99.82,134.72,11479
9,Masked Denom,1.87,122.06,227.76,19407,2.57,143.62,369.12,31452,1.82,190.13,345.86,29470,2.16,125.47,270.94,23086,1.91,128.60,246.01,20962
10,Masked Denom,1.24,135.58,168.67,14372,3.77,178.22,671.41,57209,1.94,194.76,377.15,32136,2.23,163.18,363.88,31005,1.26,154.30,193.76,16510
11,Masked Denom,1.08,142.48,153.84,13108,3.03,204.74,619.92,52822,2.08,177.39,368.49,31398,2.46,176.52,435.05,37069,0.81,133.55,108.15,9215
12,Masked Denom,1.19,129.06,152.98,13035,1.60,206.81,330.09,28126,2.18,192.27,419.71,35762,2.82,172.41,485.63,41379,0.31,130.50,39.82,3393
13,Masked Denom,0.45,173.08,77.19,6577,0.61,218.75,133.50,11375,0.75,207.73,156.03,13295,1.26,184.61,231.82,19753,0.00,NaN,NaN,NaN
