 ,Label,Area(ROI_1),Mean(ROI_1),IntDen(ROI_1),RawIntDen(ROI_1),Area(ROI_2),Mean(ROI_2),IntDen(ROI_2),RawIntDen(ROI_2),Area(ROI_3),Mean(ROI_3),IntDen(ROI_3),RawIntDen(ROI_3),Area(ROI_4),Mean(ROI_4),IntDen(ROI_4),RawIntDen(ROI_4),Area(ROI_5),Mean(ROI_5),IntDen(ROI_5),RawIntDen(ROI_5)
1,Masked Num,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
2,Masked Num,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
3,Masked Num,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
4,Masked Num,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
5,Masked Num,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
6,Masked Num,0.46,457.95,209.61,17860,0.00,NaN,NaN,NaN,0.32,428.85,135.89,11579,0.08,375.57,30.85,2629,0.21,422.06,89.16,7597
7,Masked Num,1.47,512.29,751.53,64036,0.27,514.04,138.76,11823,1.42,455.92,647.43,55166,0.41,625.23,256.82,21883,0.54,379.17,204.70,17442
8,Masked Num,2.18,570.91,1246.25,106189,1.11,633.01,705.76,60136,2.03,495.42,1005.87,85707,1.04,611.40,638.62,54415,1.35,508.08,685.73,58429
9,Masked Num,1.87,529.76,988.56,84232,2.57,643.83,1654.77,140998,1.82,587.56,1068.83,91072,2.16,556.14,1200.94,102329,1.95,508.16,989.99,84354
10,Masked Num,1.24,563.95,701.57,59779,3.77,651.14,2453.04,209016,1.94,573.19,1109.95,94576,2.23,650.64,1450.83,123621,1.26,469.37,589.42,50223
11,Masked Num,1.09,616.59,672.98,57343,3.03,564.72,1709.94,145699,2.08,556.14,1155.26,98436,2.46,632.34,1558.46,132792,0.81,428.88,347.31,29593
12,Masked Num,1.19,623.72,739.33,62996,1.60,615.73,982.77,83739,2.18,575.89,1257.11,107115,2.82,575.57,1621.19,138137,0.31,328.54,100.25,8542
13,Masked Num,0.45,402.61,179.55,15299,0.61,361.50,220.62,18798,0.75,294.94,221.53,18876,1.26,307.46,386.09,32898,0.00,NaN,NaN,NaN
