 ,Label,Area(ROI_1),Mean(ROI_1),IntDen(ROI_1),RawIntDen(ROI_1),Area(ROI_2),Mean(ROI_2),IntDen(ROI_2),RawIntDen(ROI_2),Area(ROI_3),Mean(ROI_3),IntDen(ROI_3),RawIntDen(ROI_3),Area(ROI_4),Mean(ROI_4),IntDen(ROI_4),RawIntDen(ROI_4),Area(ROI_5),Mean(ROI_5),IntDen(ROI_5),RawIntDen(ROI_5)
1,sample input_crop_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
2,sample input_crop_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
3,sample input_crop_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
4,sample input_crop_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
5,sample input_crop_ratio,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN
6,sample input_crop_ratio,0.43,11.56,5.02,427.60,0.00,NaN,NaN,NaN,0.32,6.05,1.92,163.25,0.08,9.59,0.79,67.14,0.21,8.70,1.84,156.54
7,sample input_crop_ratio,1.42,8.14,11.56,984.69,0.27,7.83,2.11,180.11,1.42,4.22,6.00,511.03,0.39,7.96,3.08,262.80,0.54,6.25,3.37,287.39
8,sample input_crop_ratio,2.16,8.27,17.85,1521.14,1.11,5.84,6.51,554.40,2.03,3.97,8.07,687.20,1.03,6.58,6.79,578.84,1.35,6.41,8.65,736.68
9,sample input_crop_ratio,1.87,5.69,10.61,904.28,2.57,5.34,13.74,1170.55,1.82,3.47,6.31,537.43,2.16,6.49,14.02,1194.92,1.91,5.01,9.58,816.18
10,sample input_crop_ratio,1.24,5.02,6.24,532.05,3.77,4.09,15.43,1314.46,1.94,3.43,6.64,565.41,2.23,4.71,10.50,894.57,1.26,3.70,4.65,396.17
11,sample input_crop_ratio,1.08,5.74,6.19,527.80,3.03,3.22,9.74,829.89,2.08,4.13,8.58,731.43,2.46,4.66,11.50,979.56,0.81,4.04,3.27,278.92
12,sample input_crop_ratio,1.19,6.03,7.15,609.07,1.60,3.18,5.07,431.83,2.18,3.37,7.35,626.69,2.82,4.44,12.51,1066.22,0.31,2.83,0.86,73.46
13,sample input_crop_ratio,0.45,2.56,1.14,97.26,0.61,1.67,1.02,86.60,0.75,1.46,1.10,93.40,1.26,1.76,2.21,188.56,0.00,NaN,NaN,NaN
