 ,Label,Area,Mean,IntDen,RawIntDen,Slice
1,Masked Denom:ROI_1:c:1/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
2,Masked Denom:ROI_2:c:1/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
3,Masked Denom:ROI_3:c:1/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
4,Masked Denom:ROI_4:c:1/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
5,Masked Denom:ROI_5:c:1/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
6,Masked Denom:ROI_1:c:1/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
7,Masked Denom:ROI_2:c:1/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
8,Masked Denom:ROI_3:c:1/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
9,Masked Denom:ROI_4:c:1/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
10,Masked Denom:ROI_5:c:1/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
11,Masked Denom:ROI_1:c:1/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
12,Masked Denom:ROI_2:c:1/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
13,Masked Denom:ROI_3:c:1/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
14,Masked Denom:ROI_4:c:1/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
15,Masked Denom:ROI_5:c:1/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
16,Masked Denom:ROI_1:c:1/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
17,Masked Denom:ROI_2:c:1/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
18,Masked Denom:ROI_3:c:1/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
19,Masked Denom:ROI_4:c:1/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
20,Masked Denom:ROI_5:c:1/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
21,Masked Denom:ROI_1:c:1/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
22,Masked Denom:ROI_2:c:1/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
23,Masked Denom:ROI_3:c:1/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
24,Masked Denom:ROI_4:c:1/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
25,Masked Denom:ROI_5:c:1/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
26,Masked Denom:ROI_1:c:1/3 z:6/13 - sample input.nd2 (series 1),0.43,43.92,19.07,1625,6
27,Masked Denom:ROI_2:c:1/3 z:6/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,6
28,Masked Denom:ROI_3:c:1/3 z:6/13 - sample input.nd2 (series 1),0.32,79.85,25.30,2156,6
29,Masked Denom:ROI_4:c:1/3 z:6/13 - sample input.nd2 (series 1),0.08,42.29,3.47,296,6
30,Masked Denom:ROI_5:c:1/3 z:6/13 - sample input.nd2 (series 1),0.21,52.89,11.17,952,6
31,Masked Denom:ROI_1:c:1/3 z:7/13 - sample input.nd2 (series 1),1.42,85.87,121.94,10390,7
32,Masked Denom:ROI_2:c:1/3 z:7/13 - sample input.nd2 (series 1),0.27,73.48,19.83,1690,7
