 ,Label,Area,Mean,IntDen,RawIntDen,Slice
1,Masked Num:ROI_1:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
2,Masked Num:ROI_2:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
3,Masked Num:ROI_3:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
4,Masked Num:ROI_4:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
5,Masked Num:ROI_5:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
6,Masked Num:ROI_1:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
7,Masked Num:ROI_2:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
8,Masked Num:ROI_3:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
9,Masked Num:ROI_4:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
10,Masked Num:ROI_5:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
11,Masked Num:ROI_1:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
12,Masked Num:ROI_2:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
13,Masked Num:ROI_3:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
14,Masked Num:ROI_4:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
15,Masked Num:ROI_5:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
16,Masked Num:ROI_1:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
17,Masked Num:ROI_2:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
18,Masked Num:ROI_3:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
19,Masked Num:ROI_4:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
20,Masked Num:ROI_5:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
21,Masked Num:ROI_1:c:2/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
22,Masked Num:ROI_2:c:2/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
23,Masked Num:ROI_3:c:2/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
24,Masked Num:ROI_4:c:2/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
25,Masked Num:ROI_5:c:2/3 z:5/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,5
26,Masked Num:ROI_1:c:2/3 z:6/13 - sample input.nd2 (series 1),0.46,457.95,209.61,17860,6
27,Masked Num:ROI_2:c:2/3 z:6/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,6
28,Masked Num:ROI_3:c:2/3 z:6/13 - sample input.nd2 (series 1),0.32,428.85,135.89,11579,6
29,Masked Num:ROI_4:c:2/3 z:6/13 - sample input.nd2 (series 1),0.08,375.57,30.85,2629,6
30,Masked Num:ROI_5:c:2/3 z:6/13 - sample input.nd2 (series 1),0.21,422.06,89.16,7597,6
31,Masked Num:ROI_1:c:2/3 z:7/13 - sample input.nd2 (series 1),1.47,512.29,751.53,64036,7
32,Masked Num:ROI_2:c:2/3 z:7/13 - sample input.nd2 (series 1),0.27,514.04,138.76,11823.00,7
33,Masked Num:ROI_3:c:2/3 z:7/13 - sample input.nd2 (series 1),1.42,455.92,647.43,55166,7
34,Masked Num:ROI_4:c:2/3 z:7/13 - sample input.nd2 (series 1),0.41,625.23,256.82,21883,7
35,Masked Num:ROI_5:c:2/3 z:7/13 - sample input.nd2 (series 1),0.54,379.17,204.70,17442,7
36,Masked Num:ROI_1:c:2/3 z:8/13 - sample input.nd2 (series 1),2.18,570.91,1246.25,106189,8
37,Masked Num:ROI_2:c:2/3 z:8/13 - sample input.nd2 (series 1),1.11,633.01,705.76,60136.00,8
38,Masked Num:ROI_3:c:2/3 z:8/13 - sample input.nd2 (series 1),2.03,495.42,1005.87,85707,8
39,Masked Num:ROI_4:c:2/3 z:8/13 - sample input.nd2 (series 1),1.04,611.40,638.62,54415,8
40,Masked Num:ROI_5:c:2/3 z:8/13 - sample input.nd2 (series 1),1.35,508.08,685.73,58429,8
41,Masked Num:ROI_1:c:2/3 z:9/13 - sample input.nd2 (series 1),1.87,529.76,988.56,84232,9
42,Masked Num:ROI_2:c:2/3 z:9/13 - sample input.nd2 (series 1),2.57,643.83,1654.77,140998,9
43,Masked Num:ROI_3:c:2/3 z:9/13 - sample input.nd2 (series 1),1.82,587.56,1068.83,91072.00,9
44,Masked Num:ROI_4:c:2/3 z:9/13 - sample input.nd2 (series 1),2.16,556.14,1200.94,102329,9
45,Masked Num:ROI_5:c:2/3 z:9/13 - sample input.nd2 (series 1),1.95,508.16,989.99,84354,9
46,Masked Num:ROI_1:c:2/3 z:10/13 - sample input.nd2 (series 1),1.24,563.95,701.57,59779.00,10
47,Masked Num:ROI_2:c:2/3 z:10/13 - sample input.nd2 (series 1),3.77,651.14,2453.04,209016,10
48,Masked Num:ROI_3:c:2/3 z:10/13 - sample input.nd2 (series 1),1.94,573.19,1109.95,94576.00,10
49,Masked Num:ROI_4:c:2/3 z:10/13 - sample input.nd2 (series 1),2.23,650.64,1450.83,123621.00,10
50,Masked Num:ROI_5:c:2/3 z:10/13 - sample input.nd2 (series 1),1.26,469.37,589.42,50223,10
51,Masked Num:ROI_1:c:2/3 z:11/13 - sample input.nd2 (series 1),1.09,616.59,672.98,57343,11
52,Masked Num:ROI_2:c:2/3 z:11/13 - sample input.nd2 (series 1),3.03,564.72,1709.94,145699,11
53,Masked Num:ROI_3:c:2/3 z:11/13 - sample input.nd2 (series 1),2.08,556.14,1155.26,98436.00,11
54,Masked Num:ROI_4:c:2/3 z:11/13 - sample input.nd2 (series 1),2.46,632.34,1558.46,132792,11
55,Masked Num:ROI_5:c:2/3 z:11/13 - sample input.nd2 (series 1),0.81,428.88,347.31,29593,11
56,Masked Num:ROI_1:c:2/3 z:12/13 - sample input.nd2 (series 1),1.19,623.72,739.33,62996,12
57,Masked Num:ROI_2:c:2/3 z:12/13 - sample input.nd2 (series 1),1.60,615.73,982.77,83739,12
58,Masked Num:ROI_3:c:2/3 z:12/13 - sample input.nd2 (series 1),2.18,575.89,1257.11,107115,12
59,Masked Num:ROI_4:c:2/3 z:12/13 - sample input.nd2 (series 1),2.82,575.57,1621.19,138137,12
60,Masked Num:ROI_5:c:2/3 z:12/13 - sample input.nd2 (series 1),0.31,328.54,100.25,8542,12
61,Masked Num:ROI_1:c:2/3 z:13/13 - sample input.nd2 (series 1),0.45,402.61,179.55,15299,13
62,Masked Num:ROI_2:c:2/3 z:13/13 - sample input.nd2 (series 1),0.61,361.50,220.62,18798,13
63,Masked Num:ROI_3:c:2/3 z:13/13 - sample input.nd2 (series 1),0.75,294.94,221.53,18876,13
64,Masked Num:ROI_4:c:2/3 z:13/13 - sample input.nd2 (series 1),1.26,307.46,386.09,32898,13
65,Masked Num:ROI_5:c:2/3 z:13/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,13
