 ,Label,Area,Mean,IntDen,RawIntDen,Slice
1,sample input_crop_ratio:ROI_1:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
2,sample input_crop_ratio:ROI_2:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
3,sample input_crop_ratio:ROI_3:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
4,sample input_crop_ratio:ROI_4:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
5,sample input_crop_ratio:ROI_5:c:2/3 z:1/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,1
6,sample input_crop_ratio:ROI_1:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
7,sample input_crop_ratio:ROI_2:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
8,sample input_crop_ratio:ROI_3:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
9,sample input_crop_ratio:ROI_4:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
10,sample input_crop_ratio:ROI_5:c:2/3 z:2/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,2
11,sample input_crop_ratio:ROI_1:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
12,sample input_crop_ratio:ROI_2:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
13,sample input_crop_ratio:ROI_3:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
14,sample input_crop_ratio:ROI_4:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
15,sample input_crop_ratio:ROI_5:c:2/3 z:3/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,3
16,sample input_crop_ratio:ROI_1:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
17,sample input_crop_ratio:ROI_2:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
18,sample input_crop_ratio:ROI_3:c:2/3 z:4/13 - sample input.nd2 (series 1),0,NaN,NaN,NaN,4
